ITEM TYPES
================================================================================

active_ingredient  |  Active Pharmaceutical Ingredient  |  category=ingredients  base_price=
agave  |  Blue Agave  |  category=crops  base_price=
air_cured_tobacco  |  Air-Cured Tobacco  |  category=cured_tobacco  base_price=
aircraft_engine  |  Aircraft Engine  |  category=vehicle_parts  base_price=
aircraft_fuselage  |  Aircraft Fuselage  |  category=vehicle_parts  base_price=
aircraft_service_report  |  Aircraft Service Report  |  category=services  base_price=
aircraft_wing  |  Aircraft Wing  |  category=vehicle_parts  base_price=
alarm_system  |  Alarm System  |  category=industrial  base_price=
alpaca  |  Alpaca  |  category=livestock  base_price=
aluminum  |  Aluminum  |  category=metals  base_price=
ambulance  |  Ambulance  |  category=vehicles  base_price=
american_tunis  |  American Tunis  |  category=livestock  base_price=
ammunition  |  Ammunition  |  category=military  base_price=
ammunition_crate  |  Ammunition Crate  |  category=military  base_price=
anchovies  |  Anchovies  |  category=seafood  base_price=
anchovy_paste  |  Anchovy Paste  |  category=seafood_product  base_price=
anesthesia  |  Anesthesia  |  category=health  base_price=
angora_sheep  |  Angora  |  category=livestock  base_price=
animal_enclosure  |  Animal Enclosure  |  category=livestock  base_price=
animal_feed  |  Animal Feed  |  category=livestock  base_price=
animal_microchip  |  Animal Microchip  |  category=components  base_price=
antibiotic  |  Antibiotic  |  category=health  base_price=
antidepressant  |  Antidepressant  |  category=health  base_price=
antiseptic  |  Antiseptic  |  category=health  base_price=
apc  |  Apc  |  category=military  base_price=
appenzeller_sennenhund  |  Appenzeller Sennenhund  |  category=livestock  base_price=
apple_cider_vinegar  |  Apple Cider Vinegar  |  category=condiments  base_price=
apple_essential_oil  |  Apple Essential Oil  |  category=essential_oils  base_price=
apple_pie  |  Apple Pie  |  category=prepared_food  base_price=
apple_sauce  |  Apple Sauce  |  category=prepared_food  base_price=
apple_seeds  |  Apple Seeds  |  category=seeds  base_price=
apple_seeds_etf_shares  |  Apple Seeds ETF Shares  |  category=financial  base_price=
apples  |  Apples  |  category=produce  base_price=
aquaculture_raft  |  Aquaculture Raft  |  category=vehicle  base_price=
aquarium_tank  |  Aquarium Tank  |  category=livestock  base_price=
armored_personnel_carrier  |  Armored Personnel Carrier  |  category=vehicles  base_price=
aromatic_pipe_tobacco  |  Aromatic Pipe Tobacco  |  category=tobacco  base_price=
art_book  |  Art Book  |  category=media  base_price=
art_supplies  |  Art Supplies  |  category=media  base_price=
artificial_turf  |  Artificial Turf  |  category=accessories  base_price=
athlete_contract  |  Athlete Contract  |  category=services  base_price=
australian_kelpie  |  Australian Kelpie  |  category=livestock  base_price=
australian_white_sheep  |  Australian White Sheep  |  category=livestock  base_price=
aviation_fuel  |  Aviation Fuel  |  category=fuel  base_price=
bacon  |  Bacon  |  category=meat  base_price=
badger_face_welsh_mountain  |  Badger Face Welsh Mountain  |  category=livestock  base_price=
baguette  |  French Baguette  |  category=baked_goods  base_price=
band_instruments  |  Band Instruments  |  category=media  base_price=
band_merchandise  |  Band Merchandise  |  category=media  base_price=
bandage  |  Bandages  |  category=health  base_price=
barbados_black_belly  |  Barbados Black Belly  |  category=livestock  base_price=
barley  |  Barley  |  category=crops  base_price=
barley_essential_oil  |  Barley Essential Oil  |  category=essential_oils  base_price=
barley_seeds  |  Barley Seeds  |  category=seeds  base_price=
barnacles  |  Barnacles  |  category=shellfish  base_price=
barracks_bunk  |  Barracks Bunk  |  category=military  base_price=
barracuda  |  Barracuda  |  category=seafood  base_price=
barramundi  |  Barramundi  |  category=seafood  base_price=
basketball_hoop  |  Basketball Hoop  |  category=accessories  base_price=
basque_shepherd  |  Basque Shepherd Dog  |  category=livestock  base_price=
